ID condition type session sound_dist concept_dist answer RT
A3QYJNMHPJ6S2S sound pre 0 NA NA 0 3211
A3QYJNMHPJ6S2S sound pre 0 NA NA 1 2643
A3QYJNMHPJ6S2S sound pre 0 NA NA 0 3538
A3QYJNMHPJ6S2S sound real 1 2 1 0 3680
A3QYJNMHPJ6S2S sound real 1 3 4 1 3138
A3QYJNMHPJ6S2S sound real 1 4 2 1 3016
A3QYJNMHPJ6S2S sound real 1 1 3 0 3043
A3QYJNMHPJ6S2S sound real 2 3 3 1 2969
A3QYJNMHPJ6S2S sound real 2 4 1 1 3162
A3QYJNMHPJ6S2S sound real 2 2 4 0 3072
A3QYJNMHPJ6S2S sound real 2 1 2 0 2906
A1GVHFB9F270GX joint pre 0 NA NA 1 5008
A1GVHFB9F270GX joint pre 0 NA NA 0 3376
A1GVHFB9F270GX joint pre 0 NA NA 1 3647
A1GVHFB9F270GX joint pre 0 NA NA 1 2469
A1GVHFB9F270GX joint real 1 1 3 1 3586
A1GVHFB9F270GX joint real 1 4 1 0 3791
A1GVHFB9F270GX joint real 1 3 4 1 2353
A1GVHFB9F270GX joint real 1 2 2 0 2536
A1GVHFB9F270GX joint real 2 1 3 1 2434
A1GVHFB9F270GX joint real 2 4 4 1 2637
A1GVHFB9F270GX joint real 2 2 1 0 2409
A1GVHFB9F270GX joint real 2 3 2 0 2454
A2JJHLWZKVOPQQ sound pre 0 NA NA 1 3706
A2JJHLWZKVOPQQ sound pre 0 NA NA 0 2283
A2JJHLWZKVOPQQ sound pre 0 NA NA 1 2714
A2JJHLWZKVOPQQ sound pre 0 NA NA 0 2460
A2JJHLWZKVOPQQ sound real 1 3 3 1 2733
A2JJHLWZKVOPQQ sound real 1 2 2 0 2687
A2JJHLWZKVOPQQ sound real 1 1 1 0 2486
A2JJHLWZKVOPQQ sound real 1 4 4 1 2015
A2JJHLWZKVOPQQ sound real 2 1 2 1 2918
A2JJHLWZKVOPQQ sound real 2 4 4 1 2547
A2JJHLWZKVOPQQ sound real 2 3 1 1 2158
A2JJHLWZKVOPQQ sound real 2 2 3 1 3039
AVU1N78F92K93 concept pre 0 NA NA 1 8383
AVU1N78F92K93 concept pre 0 NA NA 0 3553
AVU1N78F92K93 concept pre 0 NA NA 1 4177
AVU1N78F92K93 concept pre 0 NA NA 1 4564
AVU1N78F92K93 concept real 1 3 1 1 3110
AVU1N78F92K93 concept real 1 1 2 1 1756
AVU1N78F92K93 concept real 1 4 4 1 2592
AVU1N78F92K93 concept real 1 2 3 1 3852
AVU1N78F92K93 concept real 2 3 3 1 8384
AVU1N78F92K93 concept real 2 4 2 0 2007
AVU1N78F92K93 concept real 2 2 1 0 2472
AVU1N78F92K93 concept real 2 1 4 1 1363
ARVH4B3J1FQ3I joint pre 0 NA NA 0 2824
ARVH4B3J1FQ3I joint pre 0 NA NA 1 2252
ARVH4B3J1FQ3I joint pre 0 NA NA 0 2226
ARVH4B3J1FQ3I joint pre 0 NA NA 1 2138
ARVH4B3J1FQ3I joint real 1 2 4 0 3421
ARVH4B3J1FQ3I joint real 1 4 2 1 2369
ARVH4B3J1FQ3I joint real 1 1 3 0 2338
ARVH4B3J1FQ3I joint real 1 3 1 1 2170
ARVH4B3J1FQ3I joint real 2 3 4 1 2720
ARVH4B3J1FQ3I joint real 2 4 2 1 2354
ARVH4B3J1FQ3I joint real 2 1 3 0 2433
ARVH4B3J1FQ3I joint real 2 2 1 0 2395
A3I3JQX0P2F0K3 sound pre 0 NA NA 1 23271
A3I3JQX0P2F0K3 sound pre 0 NA NA 0 2392
A3I3JQX0P2F0K3 sound pre 0 NA NA 1 2231
A3I3JQX0P2F0K3 sound pre 0 NA NA 0 2000
A3I3JQX0P2F0K3 sound real 1 1 4 0 3194
A3I3JQX0P2F0K3 sound real 1 4 2 1 2172
A3I3JQX0P2F0K3 sound real 1 3 3 1 62
A3I3JQX0P2F0K3 sound real 1 2 1 1 3061
A3I3JQX0P2F0K3 sound real 2 3 3 1 3741
A3I3JQX0P2F0K3 sound real 2 4 2 0 5349
A3I3JQX0P2F0K3 sound real 2 2 4 0 2081
A3I3JQX0P2F0K3 sound real 2 1 1 0 2148
A2HSWH3OL2WCYD concept pre 0 NA NA 1 37976
A2HSWH3OL2WCYD concept pre 0 NA NA 1 3599
A2HSWH3OL2WCYD concept pre 0 NA NA 0 2710
A2HSWH3OL2WCYD concept pre 0 NA NA 0 2918
A2HSWH3OL2WCYD concept real 1 2 4 1 6465
A2HSWH3OL2WCYD concept real 1 4 1 0 4317
A2HSWH3OL2WCYD concept real 1 3 2 1 5408
A2HSWH3OL2WCYD concept real 1 1 3 1 4091
A2HSWH3OL2WCYD concept real 2 2 1 0 3085
A2HSWH3OL2WCYD concept real 2 4 3 1 3878
A2HSWH3OL2WCYD concept real 2 1 4 1 2449
A2HSWH3OL2WCYD concept real 2 3 2 0 3066
A2ZZ036CZCJJR0 joint pre 0 NA NA 1 4564
A2ZZ036CZCJJR0 joint pre 0 NA NA 0 2730
A2ZZ036CZCJJR0 joint pre 0 NA NA 0 3267
A2ZZ036CZCJJR0 joint pre 0 NA NA 1 2381
A2ZZ036CZCJJR0 joint real 1 3 4 1 7048
A2ZZ036CZCJJR0 joint real 1 1 2 0 3773
A2ZZ036CZCJJR0 joint real 1 2 1 0 3078
A2ZZ036CZCJJR0 joint real 1 4 3 1 6142
A2ZZ036CZCJJR0 joint real 2 4 3 1 3787
A2ZZ036CZCJJR0 joint real 2 1 4 1 7433
A2ZZ036CZCJJR0 joint real 2 3 1 0 5564
A2ZZ036CZCJJR0 joint real 2 2 2 0 6506
A3Y2Z6ZK6HEAC concept pre 0 NA NA 0 3968
A3Y2Z6ZK6HEAC concept pre 0 NA NA 1 3622
A3Y2Z6ZK6HEAC concept pre 0 NA NA 1 3384
A3Y2Z6ZK6HEAC concept pre 0 NA NA 0 2451
A3Y2Z6ZK6HEAC concept real 1 4 2 1 3625
A3Y2Z6ZK6HEAC concept real 1 2 1 1 3306
A3Y2Z6ZK6HEAC concept real 1 3 4 1 2027
A3Y2Z6ZK6HEAC concept real 1 1 3 1 2109
A3Y2Z6ZK6HEAC concept real 2 2 4 1 2156
A3Y2Z6ZK6HEAC concept real 2 1 2 0 3401
A3Y2Z6ZK6HEAC concept real 2 3 3 1 1881
A3Y2Z6ZK6HEAC concept real 2 4 1 0 1899
A3D38UO96N9SB0 sound pre 0 NA NA 1 10740
A3D38UO96N9SB0 sound pre 0 NA NA 1 3374
A3D38UO96N9SB0 sound pre 0 NA NA 1 6446
A3D38UO96N9SB0 sound pre 0 NA NA 0 2314
A3D38UO96N9SB0 sound real 1 3 1 0 3086
